Timestamp,initials_extractor,study_id,ocp
06/01/2023 10:57,km,s_087,"Dichlorodiphenyldichloroethylene (DDE), Hexachlorobenzene"
06/01/2023 11:00,km,s_088,"p,p-Dichlorodiphenyldichloroethylene (p,p-DDE)"
06/01/2023 11:02,km,s_089,Dichlorodiphenyltrichloroethane (DDT)
16/01/2023 9:42,km,s_090,TCDD
16/01/2023 9:56,km,s_091,no chemical classification
16/01/2023 10:05,km,s_092,Pentachlorophenol
06/01/2023 11:34,km,s_093,"Hexachlorocyclohexane (HCH), Dichlorodiphenyltrichloroethane (DDT)"
06/01/2023 11:39,km,s_094,"alpha-Hexachlorocyclohexane (alpha-HCH), beta-Hexachlorocyclohexane (beta-HCH), gamma-Hexachlorocyclohexane (gamma-HCH), Dichlorodiphenyltrichloroethane (DDT), p,p-Dichlorodiphenyltrichloroethane (p,p-DDT), Dieldrin, Heptachlor epoxide, Mirex, Hexachlorobenzene, trans-Nonachlor, Toxaphene"
06/01/2023 11:49,km,s_095,"Hexachlorocyclohexane (HCH), alpha-Hexachlorocyclohexane (alpha-HCH), beta-Hexachlorocyclohexane (beta-HCH), gamma-Hexachlorocyclohexane (gamma-HCH), Dichlorodiphenyltrichloroethane (DDT), p,p-Dichlorodiphenyltrichloroethane (p,p-DDT), Dichlorodiphenyldichloroethylene (DDE), Hexachlorobenzene"
06/01/2023 13:38,km,s_096,"Hexachlorocyclohexane (HCH), alpha-Hexachlorocyclohexane (alpha-HCH), beta-Hexachlorocyclohexane (beta-HCH), gamma-Hexachlorocyclohexane (gamma-HCH), Heptachlor, Heptachlor epoxide, cis-Chlordane, trans-Chlordane, Oxychlordane, Methoxychlor, Hexachlorobenzene, trans-Nonachlor, cis-Nonachlor"
06/01/2023 13:41,km,s_097,"Hexachlorocyclohexane (HCH), Dichlorodiphenyltrichloroethane (DDT)"
06/01/2023 13:45,km,s_098,"p,p-Dichlorodiphenyldichloroethylene (p,p-DDE)"
06/01/2023 13:52,km,s_099,general organochlorine
06/01/2023 13:55,km,s_100,"Endosulfan, Dicofol"
16/01/2023 10:19,km,s_101,general organochlorine
06/01/2023 14:06,km,s_102,Dichlorodiphenyldichloroethylene (DDE)
16/01/2023 10:35,km,s_103,general organochlorine
16/01/2023 11:04,km,s_104,Dichlorodiphenyltrichloroethane (DDT)
